phrase,first_lesson,occurrences,word_count,parent_count,child_count,parents,children
Et le boulevard Saint-Michel?,4,6,4,5,0,et|saint-michel|le boulevard|boulevard|le boulevard saint-michel,
La rue Saint-Jacques n'est pas là-bas.,4,5,6,7,0,pas|saint-jacques|la rue|rue|la rue saint-jacques,
Le boulevard Saint-Michel est là-bas.,4,5,5,6,0,saint-michel|est|le boulevard|boulevard|le boulevard saint-michel,
Mais la rue Saint-Jacques est ici.,4,3,6,9,0,mais|saint-jacques|la rue|rue|la rue saint-jacques,
Savez-vous où il y a un bon restaurant?,4,1,8,5,1,bon|savez-vous|où|restaurant|il y a,"monsieur, savez-vous où il y a un bon restaurant"
"Je ne comprends pas, Mademoiselle.",4,2,5,6,0,ne|je|comprends|je comprends|je ne,
Ça ne fait rien.,4,3,4,3,0,ne|rien|ça,
"Très bien, merci et vous?",4,1,5,7,0,"vous|très bien, merci|merci|très|et vous",
"Monsieur, savez-vous où il y a un bon restaurant?",4,1,9,6,0,bon|savez-vous où il y a un bon restaurant|savez-vous|où|restaurant,
Mademoiselle. Mademoiselle.,5,1,2,1,0,mademoiselle,
"Mademoiselle, comment allez-vous?",5,2,3,2,0,comment|comment allez-vous,
"Moi? Très bien, merci. Au revoir, Monsieur.",5,2,7,4,0,"monsieur|très|au revoir, monsieur|au",
Mademoiselle? Mademoiselle?,5,1,2,1,0,mademoiselle,
"Oui, je comprends bien le français.",5,1,6,11,0,je|comprends|je comprends|le français|français,
Je comprends bien.,5,1,3,4,4,je|comprends|je comprends|bien,"je ne comprends pas très bien|oh, un peu. je ne comprends pas très bien|oui, je comprends bien le français|je comprends bien le français"
Je comprends bien le français.,5,1,5,9,1,je|comprends|je comprends|le français|français,"oui, je comprends bien le français"
Moi? Très bien.,5,2,3,3,1,bien|très|très bien,moi? pas très bien
Moi? Pas très bien.,5,2,4,6,0,pas|bien|très|très bien|pas très bien,
La rue Saint-Jacques est ici.,5,2,5,7,1,saint-jacques|la rue|rue|la rue saint-jacques|est,mais la rue saint-jacques est ici
"Non, c'est là-bas.",5,2,3,3,0,c'est|c'est là-bas|là-bas,
La rue Saint-Jacques n'est pas ici.,5,2,6,8,0,pas|saint-jacques|la rue|rue|la rue saint-jacques,
Mais le boulevard Saint-Michel est ici.,5,2,6,8,0,mais|saint-michel|est|le boulevard|boulevard,
Je ne sais pas.,5,32,4,5,9,ne|je|pas|je ne|je sais,"non, je ne sais pas|mais je ne sais pas|je ne sais pas à quelle heure|ma femme? je ne sais pas|je ne sais pas où il est"
C'est pas.,5,2,2,2,1,pas|c'est,"ce n'est pas ici, c'est là-bas"
Je n-.,5,2,2,1,0,je,
Je sais.,5,5,2,1,20,je,"je ne sais pas|moi, je sais|non, je ne sais pas|je ne sais pas, moi|ah oui, je sais"
"Moi, je sais.",5,5,3,2,0,je|je sais,
"Où est la rue Lafayette, s'il vous plaît?",5,2,8,11,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
Vous savez.,5,5,2,1,3,vous,est-ce que vous savez|est-ce que vous savez où est la rue saint-jacques|est-ce que vous savez où est le boulevard
Est-ce que vous savez?,5,5,4,3,2,vous|est-ce que|vous savez,est-ce que vous savez où est la rue saint-jacques|est-ce que vous savez où est le boulevard
Savez-vous?,5,5,1,0,3,,"savez-vous où il y a un bon restaurant|monsieur, savez-vous où il y a un bon restaurant|savez-vous où est la rue saint-jacques"
"Non, je ne sais pas.",5,2,5,6,0,ne|je|pas|je ne|je ne sais pas,
Je veux.,5,7,2,2,34,je|veux,"je ne veux pas|je ne veux pas, moi|mais moi, je ne veux pas manger|oui, je veux bien|je veux bien"
Veux.,5,4,1,0,37,,"je veux|je ne veux pas|je ne veux pas, moi|mais moi, je ne veux pas manger|oui, je veux bien"
Vous voulez.,5,7,2,2,14,vous|voulez,"est-ce que vous voulez|qu'est-ce que vous voulez faire|qu'est-ce que vous voulez faire maintenant|dites-moi, marie, qu'est-ce que vous voulez faire maintenant|oui. vous ne voulez pas boire quelque chose avec moi"
Voulez.,5,2,1,0,15,,"vous voulez|est-ce que vous voulez|qu'est-ce que vous voulez faire|qu'est-ce que vous voulez faire maintenant|dites-moi, marie, qu'est-ce que vous voulez faire maintenant"
Je ne veux pas.,5,8,4,6,7,ne|je|pas|je ne|je veux,"mais moi, je ne veux pas manger|non merci, je ne veux pas|non, monsieur, je ne veux pas boire quelque chose avec vous|je ne veux pas manger|mais je ne veux pas"
"Je ne veux pas, moi.",5,2,5,6,0,ne|je|je ne|moi|je veux,
Est-ce que vous voulez?,5,2,4,4,2,vous|est-ce que|vous voulez|voulez,est-ce que vous le voulez|est-ce que vous voulez aller là-bas
Vous voudriez.,5,8,2,2,42,vous|voudriez,vous voudriez manger quelque chose|est-ce que vous voudriez manger quelque chose|est-ce que vous voudriez boire quelque chose|où est-ce que vous voudriez manger|quand est-ce que vous voudriez manger
Voudriez.,5,3,1,0,43,,vous voudriez|vous voudriez manger quelque chose|est-ce que vous voudriez manger quelque chose|est-ce que vous voudriez boire quelque chose|où est-ce que vous voudriez manger
Vous voudriez manger quelque chose.,5,3,5,7,2,vous|vous voudriez|voudriez|manger|quelque chose,est-ce que vous voudriez manger quelque chose|mais vous voudriez manger quelque chose avec moi
Manger.,5,5,1,0,59,,"vous voudriez manger quelque chose|est-ce que vous voudriez manger quelque chose|oui, je voudrais manger|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose"
Quelque chose.,5,9,2,2,67,chose|quelque,"vous voudriez manger quelque chose|est-ce que vous voudriez manger quelque chose|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|je voudrais boire quelque chose"
Chose.,5,2,1,0,68,,"vous voudriez manger quelque chose|quelque chose|est-ce que vous voudriez manger quelque chose|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose"
Quelque.,5,2,1,0,72,,"vous voudriez manger quelque chose|quelque chose|est-ce que vous voudriez manger quelque chose|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose"
Est-ce que vous voudriez manger quelque chose?,5,10,7,9,0,vous|est-ce que|vous voudriez|voudriez|vous voudriez manger quelque chose,
Je voudrais.,5,11,2,2,67,je|voudrais,"oui, je voudrais manger|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|je voudrais boire quelque chose|je voudrais manger quelque chose"
Voudrais.,5,6,1,0,68,,"je voudrais|oui, je voudrais manger|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|je voudrais boire quelque chose"
"Oui, je voudrais manger.",5,2,4,5,6,je|manger|je voudrais|voudrais|je voudrais manger,"oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|oui, moi aussi, je voudrais manger quelque chose|mais oui, et je voudrais manger quelque chose. vous aussi|oui, moi aussi. je voudrais manger quelque chose"
"Oui, je voudrais manger quelque chose.",5,6,6,10,3,je|manger|quelque chose|chose|quelque,"moi? oui, je voudrais manger quelque chose|oui, moi aussi, je voudrais manger quelque chose|oui, moi aussi. je voudrais manger quelque chose"
"Moi? Oui, je voudrais manger quelque chose.",5,2,7,11,0,je|manger|quelque chose|chose|quelque,
Je voudrais boire quelque chose.,5,9,5,8,8,je|quelque chose|chose|quelque|je voudrais,"oui, je voudrais boire quelque chose aussi|oui, je voudrais boire quelque chose|non merci, mais je voudrais boire quelque chose|non, monsieur, pas maintenant. plus tard, s'il vous plaît. mais je voudrais boire quelque chose maintenant|mais moi, je voudrais boire quelque chose maintenant"
Boire.,5,4,1,0,73,,"je voudrais boire quelque chose|est-ce que vous voudriez boire quelque chose|et boire|oui, je voudrais boire quelque chose aussi|oui, je voudrais boire quelque chose"
Est-ce que vous voudriez boire quelque chose?,5,24,7,9,8,vous|est-ce que|vous voudriez|voudriez|quelque chose,et quand est-ce que vous voudriez boire quelque chose|quand est-ce que vous voudriez boire quelque chose|est-ce que vous voudriez boire quelque chose chez moi|est-ce que vous voudriez boire quelque chose maintenant|je ne sais pas. et vous? est-ce que vous voudriez boire quelque chose
Je voudrais manger quelque chose.,5,11,5,8,12,je|manger|quelque chose|chose|quelque,"oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|mais je voudrais manger quelque chose|non, merci, mais je voudrais manger quelque chose|bien merci, mais je voudrais manger quelque chose et vous"
"Non, merci.",5,13,2,1,0,merci,
Mais je voudrais manger quelque chose.,5,8,6,10,5,je|mais|manger|quelque chose|chose,"non, merci, mais je voudrais manger quelque chose|bien merci, mais je voudrais manger quelque chose et vous|mais je voudrais aussi manger quelque chose|non, merci. mais je voudrais manger quelque chose|je ne sais pas, mais je voudrais manger quelque chose"
"Non, merci, mais je voudrais manger quelque chose.",5,3,8,11,0,je|mais|manger|quelque chose|chose,
"Non, je ne vais pas très bien.",5,1,7,13,0,ne|je|pas|je ne|bien,
Je ne vais pas très bien.,5,1,6,11,1,ne|je|pas|je ne|bien,"non, je ne vais pas très bien"
"Ce n'est pas ici, c'est là-bas.",5,3,6,7,0,pas|c'est|ce|c'est là-bas|là-bas,
"Où est le boulevard Saint-Michel, s'il vous plaît?",5,2,8,11,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"Je ne sais pas, moi.",5,4,5,5,0,ne|je|je ne|moi|je sais,
"Ah oui, je sais.",5,5,4,3,0,"je|je sais|oui, je sais",
Où?,5,16,1,0,50,,où est la rue saint-jacques s'il vous plaît|où est|où est la rue|où est la rue saint-jacques|où est le boulevard saint-michel
Mais je ne sais pas.,5,2,5,7,0,ne|je|pas|je ne|mais,
Oh non.,5,1,2,1,0,non,
"Non, merci, Monsieur.",5,2,3,3,0,"non, monsieur|monsieur|merci, monsieur",
"Mais je voudrais manger quelque chose, Monsieur.",5,1,7,8,0,monsieur|je|mais|manger|quelque,
"Ah, très bien.",5,3,3,3,0,bien|très|très bien,
"Mais moi, je ne veux pas manger.",5,2,7,12,0,ne|je|pas|je ne|mais,
"Bonjour, Jacqueline.",6,2,2,0,0,,
"Bonjour, Michel. Comment allez-vous?",6,2,4,2,0,comment|comment allez-vous,
"Bien merci, mais je voudrais manger quelque chose et vous?",6,2,10,16,0,vous|je|bien|et vous|et,
"Oui, moi aussi, je voudrais manger quelque chose.",6,2,8,12,0,je|moi|manger|quelque chose|chose,
Et boire?,6,2,2,2,6,et|boire,et quand est-ce que vous voudriez boire quelque chose|je ne sais pas. et vous? est-ce que vous voudriez boire quelque chose|et je voudrais aussi boire du vin. d'accord|et vous pouvez boire de l'orangina|et nous voudrions boire quelque chose
"Oui, je voudrais boire quelque chose aussi.",6,2,7,11,0,je|quelque chose|chose|quelque|je voudrais,
"Rue Saint-Jacques, s'il vous plaît.",6,2,5,6,2,vous|s'il vous plaît|plaît|vous plaît|s'il,"où est la rue saint-jacques, s'il vous plaît|pardon, où est la rue saint-jacques, s'il vous plaît"
"Oui, je voudrais boire quelque chose.",6,2,6,9,1,je|quelque chose|chose|quelque|je voudrais,"oui, je voudrais boire quelque chose aussi"
"Non merci, mais je voudrais boire quelque chose.",6,2,8,11,1,non|je|mais|quelque chose|chose,"non merci, pierre, pas maintenant, mais je voudrais boire quelque chose"
Et ce n'est pas là-bas.,6,2,5,5,0,pas|et|ce|là-bas|ce n'est pas là-bas,
Où est-ce que vous voudriez manger?,6,22,6,6,0,vous|est-ce que|vous voudriez|voudriez|manger,
Chez moi.,6,17,2,2,4,moi|chez,"pas chez vous. chez moi|est-ce que vous voudriez boire quelque chose chez moi|d'accord. chez moi|alors, à huit heures chez moi"
Chez.,6,2,1,0,21,,"chez moi|chez vous|oui, chez vous|pas chez vous. chez moi|est-ce que vous voudriez boire quelque chose chez moi"
Chez vous.,6,5,2,2,7,vous|chez,"oui, chez vous|est-ce que vous voudriez boire quelque chose chez moi|pas chez vous|chez vous, s'il vous plaît|non, chez vous"
"Oui, chez vous.",6,4,3,3,0,vous|chez|chez vous,
Moi aussi.,6,15,2,2,1,moi|aussi,moi aussi. je voudrais aussi manger avec vous
Aussi.,6,2,1,0,20,,"oui, je voudrais boire quelque chose aussi|moi aussi|je voudrais manger aussi|mais je voudrais aussi manger quelque chose|est-ce que vous voudriez boire aussi de la bière"
Je voudrais manger aussi.,6,4,4,6,5,je|manger|je voudrais|voudrais|aussi,"mais je voudrais aussi manger quelque chose|mais oui, et je voudrais manger quelque chose. vous aussi|moi aussi. je voudrais aussi manger avec vous|mais oui. et je voudrais manger quelque chose. vous aussi|oui, je voudrais aussi manger"
Quand?,6,16,1,0,20,,"quand est-ce que vous voudriez manger|et quand est-ce que vous voudriez boire quelque chose|quand est-ce que vous voudriez manger, mademoiselle|quand est-ce que vous voudriez boire quelque chose|quand est-ce que vous voudriez manger, mademoiselle? maintenant"
Maintenant.,6,9,1,0,40,,"pas maintenant|non, maintenant|quand est-ce que vous voudriez manger, mademoiselle? maintenant|non, monsieur, pas maintenant. plus tard, s'il vous plaît. mais je voudrais boire quelque chose maintenant|je voudrais manger maintenant"
Nant.,6,2,1,0,0,,
Mainte-,6,2,1,0,0,,
Quand est-ce que vous voudriez manger?,6,13,6,6,0,vous|est-ce que|vous voudriez|voudriez|manger,
Pas maintenant.,6,9,2,2,4,pas|maintenant,"non, monsieur, pas maintenant. plus tard, s'il vous plaît. mais je voudrais boire quelque chose maintenant|non, merci. pas maintenant|non merci. pas maintenant|mais non, pas maintenant"
Plus tard.,6,16,2,2,14,tard|plus,"oui, mademoiselle. plus tard|pas maintenant, plus tard|oui, plus tard|mais plus tard|pas maintenant, je voudrais manger plus tard"
Tard.,6,2,1,0,18,,"plus tard|oui, mademoiselle. plus tard|pas maintenant, plus tard|oui, plus tard|mais plus tard"
Plus.,6,6,1,0,29,,"plus tard|plus tard, s'il vous plaît|oui, mademoiselle. plus tard|pas maintenant, plus tard|pas maintenant. plus tard, s'il vous plaît"
Et quand est-ce que vous voudriez boire quelque chose?,6,3,9,15,0,vous|est-ce que|et vous|et|vous voudriez,
Boire quelque chose?,6,1,3,4,33,quelque chose|chose|quelque|boire,"je voudrais boire quelque chose|est-ce que vous voudriez boire quelque chose|oui, je voudrais boire quelque chose aussi|oui, je voudrais boire quelque chose|non merci, mais je voudrais boire quelque chose"
"Quand est-ce que vous voudriez manger, Mademoiselle?",6,1,7,6,0,vous|est-ce que|mademoiselle|vous voudriez|voudriez,
"Plus tard, s'il vous plaît.",6,1,5,6,2,vous|s'il vous plaît|plaît|vous plaît|s'il,"pas maintenant. plus tard, s'il vous plaît|comment? manger? non, pas maintenant. plus tard, s'il vous plaît"
Pas chez vous. Chez moi.,6,2,5,4,0,pas|moi|chez moi|chez,
Quand est-ce que vous voudriez boire quelque chose?,6,4,8,11,1,vous|est-ce que|vous voudriez|voudriez|quelque chose,et quand est-ce que vous voudriez boire quelque chose
"Non, maintenant.",6,3,2,1,4,maintenant,"non, monsieur, pas maintenant. plus tard, s'il vous plaît. mais je voudrais boire quelque chose maintenant|non, merci. pas maintenant|non, je vais déjeuner maintenant|mais non, pas maintenant"
Est-ce que vous voudriez boire quelque chose chez moi?,6,5,9,14,0,vous|est-ce que|moi|vous voudriez|voudriez,
"Oui, je veux bien.",6,10,4,6,1,je|bien|je veux|veux|veux bien,"oui, je veux bien boire quelque chose"
Très bien. Très bien.,6,1,4,3,0,bien|très|très bien,
Veux bien.,6,1,2,2,6,bien|veux,"oui, je veux bien|je veux bien|oui, je veux bien boire quelque chose|je vais bien. je veux bien|je vais bien, je veux bien"
Je veux bien.,6,9,3,5,5,je|bien|je veux|veux|veux bien,"oui, je veux bien|oui, je veux bien boire quelque chose|je vais bien. je veux bien|je vais bien, je veux bien|d'accord, je veux bien"
Mais je voudrais aussi manger quelque chose.,6,3,7,13,0,je|mais|manger|quelque chose|chose,
"Oui, Mademoiselle. Plus tard.",6,1,4,4,0,"plus tard|tard|plus|oui, plus tard",
"Non, merci. Mais je voudrais manger quelque chose.",6,1,8,11,0,je|mais|manger|quelque chose|chose,
"Pas maintenant, plus tard.",6,4,4,5,1,pas|plus tard|tard|plus|pas plus tard,"pas maintenant, je voudrais manger plus tard"
"Pas maintenant. Plus tard, s'il vous plaît.",6,1,7,8,1,vous|pas|s'il vous plaît|plaît|vous plaît,"comment? manger? non, pas maintenant. plus tard, s'il vous plaît"
"Oui, plus tard.",6,1,3,3,1,plus tard|tard|plus,"oui, mademoiselle. plus tard"
"Quand est-ce que vous voudriez manger, Mademoiselle? Maintenant?",7,2,8,6,0,vous|est-ce que|vous voudriez|voudriez|quand,
"Non, Monsieur, pas maintenant. Plus tard, s'il vous plaît. Mais je voudrais boire quelque chose maintenant.",7,2,16,18,0,vous|je|pas|mais|s'il,
"Oui, très bien.",7,4,3,3,1,bien|très|très bien,"oui, madame, un peu. pas très bien"
Pas chez vous.,7,1,3,4,1,vous|pas|chez|chez vous,"non, pas à l'hôtel. au restaurant chez michel, s'il vous plaît"
Je voudrais manger.,7,3,3,4,25,je|manger|je voudrais|voudrais,"oui, je voudrais manger|oui, je voudrais manger quelque chose|moi? oui, je voudrais manger quelque chose|je voudrais manger quelque chose|mais je voudrais manger quelque chose"
Je voudrais manger maintenant.,7,1,4,6,0,je|manger|je voudrais|voudrais|maintenant,
Pas ici.,7,4,2,2,9,pas|ici,"non, ce n'est pas ici|ce n'est pas ici|la rue saint-jacques n'est pas ici|mais pas ici|jacques n'est pas ici"
"Non, pas là-bas.",7,2,3,2,1,pas|là-bas,"non, il n'est pas là-bas"
"Chez vous, s'il vous plaît.",7,2,5,7,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
D'accord.,7,25,1,0,10,,"pas d'accord|bon, un peu plus tard. d'accord|bon, un peu plus tard, d'accord|oui, d'accord|oui, mais je voudrais déjeuner au restaurant chez jacques. d'accord"
Pas d'accord.,7,3,2,2,0,pas|d'accord,
Je voudrais manger ici.,7,2,4,6,0,je|ici|manger|je voudrais|voudrais,
Au restaurant.,7,14,2,2,3,restaurant|au,"non, pas à l'hôtel. au restaurant chez michel, s'il vous plaît|oui, mais je voudrais déjeuner au restaurant chez jacques. d'accord|nous avons mangé au restaurant chez pierre"
Rant.,7,2,1,0,0,,
Torrant.,7,2,1,0,0,,
Restaurant.,7,2,1,0,13,,"savez-vous où il y a un bon restaurant|monsieur, savez-vous où il y a un bon restaurant|au restaurant|où est le restaurant|le restaurant"
Au.,7,2,1,0,15,,"au revoir|au revoir, madame|au revoir, monsieur|au revoir, mademoiselle|au revoir, mademoiselle. au revoir"
Qu'est-ce que vous voudriez manger?,7,8,5,5,0,vous|vous voudriez|voudriez|manger|qu'est-ce que,
Qu'est-ce que...,7,2,2,0,30,,qu'est-ce que vous voudriez manger|qu'est-ce que vous voudriez boire|très bien. qu'est-ce que vous voudriez boire|d'accord. qu'est-ce que vous voudriez boire|qu'est-ce que vous voulez faire
Qu'est-ce que vous voudriez boire?,7,13,5,5,2,vous|vous voudriez|voudriez|boire|qu'est-ce que,très bien. qu'est-ce que vous voudriez boire|d'accord. qu'est-ce que vous voudriez boire
Du vin.,7,14,2,2,20,vin|du,"je voudrais du vin|moi, je voudrais du vin|où est-ce que vous voudriez boire du vin|je voudrais boire du vin|ou du vin"
Vin.,7,4,1,0,30,,"du vin|je voudrais du vin|moi, je voudrais du vin|où est-ce que vous voudriez boire du vin|je voudrais boire du vin"
Du.,7,7,1,0,30,,"du vin|je voudrais du vin|moi, je voudrais du vin|où est-ce que vous voudriez boire du vin|je voudrais boire du vin"
De la bière.,7,7,3,1,17,bière,"je voudrais de la bière|est-ce que vous voudriez boire de la bière|je ne sais pas. du vin? non, de la bière|est-ce que vous voudriez de la bière|je voudrais boire de la bière"
Bière.,7,2,1,0,23,,"de la bière|je voudrais de la bière|est-ce que vous voudriez boire de la bière|je ne sais pas. du vin? non, de la bière|est-ce que vous voudriez de la bière"
Je voudrais du vin.,7,3,4,6,4,je|je voudrais|voudrais|du vin|vin,"moi, je voudrais du vin|je voudrais boire du vin|moi, je voudrais boire du vin|je voudrais acheter du vin"
Je voudrais de la bière.,7,2,5,5,2,je|je voudrais|voudrais|de la bière|bière,je voudrais boire de la bière|je voudrais acheter de la bière
"Moi, je voudrais du vin.",7,2,5,7,1,je|je voudrais|voudrais|du vin|vin,"moi, je voudrais boire du vin"
Où est-ce que vous voudriez boire du vin?,7,2,8,9,0,vous|est-ce que|vous voudriez|voudriez|boire,
"Au restaurant, s'il vous plaît.",7,3,5,6,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
Mais plus tard.,7,7,3,4,1,mais|plus tard|tard|plus,"mais non, plus tard. bien plus tard"
Est-ce que vous voudriez manger maintenant?,7,6,6,6,1,vous|est-ce que|vous voudriez|voudriez|manger,"jacqueline, est-ce que vous voudriez manger maintenant"
"D'accord, quand?",7,3,2,1,0,quand,
"Maintenant, s'il vous plaît?",7,2,4,5,0,vous|s'il vous plaît|plaît|vous plaît|s'il,
"Au restaurant, Chez Pierre.",7,3,4,2,0,chez|au,
Où est le restaurant?,7,1,4,5,3,est|où est|où|restaurant|le restaurant,où est le restaurant chez pierre|où est le restaurant chez michel|où est le restaurant chez jacques
Le restaurant.,7,2,2,1,4,restaurant,où est le restaurant|où est le restaurant chez pierre|où est le restaurant chez michel|où est le restaurant chez jacques
"Où est le restaurant, Chez Pierre?",7,1,6,5,0,est|où est|où|chez|où est chez pierre,
Rue Saint-Jacques.,7,6,2,2,11,saint-jacques|rue,où est la rue saint-jacques s'il vous plaît|la rue saint-jacques|où est la rue saint-jacques|la rue saint-jacques n'est pas là-bas|mais la rue saint-jacques est ici
Très bien. Qu'est-ce que vous voudriez boire?,7,3,7,7,0,vous|très|vous voudriez|voudriez|boire,
Est-ce que vous voudriez boire de la bière?,7,5,8,8,1,vous|est-ce que|vous voudriez|voudriez|boire,est-ce que vous voudriez boire aussi de la bière
"Non, merci. Pas maintenant.",7,2,4,4,0,"pas|maintenant|pas maintenant|non, maintenant",
Vous ne voudriez pas boire quelque chose?,7,4,7,10,0,ne|vous|pas|vous voudriez|voudriez,
"Pas maintenant, merci.",7,3,3,2,0,pas|merci,
Je voudrais boire du vin.,7,7,5,8,1,je|je voudrais|voudrais|boire|du vin,"moi, je voudrais boire du vin"
"Mais moi, je voudrais boire quelque chose maintenant.",7,2,8,11,0,je|mais|quelque chose|chose|quelque,
Où est le restaurant Chez Pierre?,7,1,6,8,0,est|où est|où|chez|restaurant,
Non merci. Pas maintenant.,7,1,4,4,0,non|pas|maintenant|pas maintenant,
Non merci.,7,1,2,2,0,non|merci,
"Jacqueline, est-ce que vous voudriez manger maintenant?",8,1,7,7,0,vous|est-ce que|vous voudriez|voudriez|manger,
"Non merci, Pierre, pas maintenant, mais je voudrais boire quelque chose.",8,1,11,13,0,non|je|pas|mais|quelque chose,
D'accord. Qu'est-ce que vous voudriez boire?,8,1,6,6,0,vous|vous voudriez|voudriez|boire|qu'est-ce que,
"Je ne sais pas. Du vin? Non, de la bière.",8,1,10,7,0,ne|je|je ne|je sais|du,
"Moi aussi, je voudrais boire de la bière. Mademoiselle, deux bières, s'il vous plaît.",8,1,14,12,0,vous|je|moi|s'il vous plaît|plaît,
"Comment? Manger? Non, pas maintenant. Plus tard, s'il vous plaît.",8,1,10,9,0,vous|pas|s'il vous plaît|plaît|vous plaît,
Déjeuner.,8,5,1,0,18,,"oui, je voudrais déjeuner|je voudrais déjeuner|je voudrais déjeuner maintenant|où est-ce que vous voudriez déjeuner|moi, je voudrais déjeuner maintenant"
"Oui, je voudrais déjeuner.",8,1,4,5,1,je|je voudrais|voudrais|déjeuner|je voudrais déjeuner,"oui, mais je voudrais déjeuner au restaurant chez jacques. d'accord"
Drais.,8,1,1,0,0,,
Je voudrais déjeuner.,8,1,3,4,5,je|je voudrais|voudrais|déjeuner,"oui, je voudrais déjeuner|je voudrais déjeuner maintenant|moi, je voudrais déjeuner maintenant|oui, mais je voudrais déjeuner au restaurant chez jacques. d'accord|d'accord, mais je voudrais aussi déjeuner"
Je voudrais déjeuner maintenant.,8,5,4,6,1,je|je voudrais|voudrais|maintenant|déjeuner,"moi, je voudrais déjeuner maintenant"
Où est-ce que vous voudriez déjeuner?,8,2,6,6,0,vous|est-ce que|vous voudriez|voudriez|où,
"Non, chez vous.",8,2,3,3,1,vous|chez|chez vous,"non, pas à l'hôtel. au restaurant chez michel, s'il vous plaît"
Est-ce que vous voudriez boire quelque chose maintenant?,8,2,8,11,0,vous|est-ce que|vous voudriez|voudriez|quelque chose,
"Deux bières, s'il vous plaît.",8,4,5,6,1,vous|s'il vous plaît|plaît|vous plaît|s'il,"moi aussi, je voudrais boire de la bière. mademoiselle, deux bières, s'il vous plaît"
Deux.,8,12,1,0,33,,"moi aussi, je voudrais boire de la bière. mademoiselle, deux bières, s'il vous plaît|deux bières, s'il vous plaît|deux bières, s'il vous plaît, mademoiselle|deux heures|à deux heures"
"Deux bières, s'il vous plaît, Mademoiselle.",8,2,6,4,0,vous|mademoiselle|s'il|deux,
Est-ce que vous voudriez de la bière?,8,2,7,6,2,vous|est-ce que|vous voudriez|voudriez|de la bière,est-ce que vous voudriez boire de la bière|est-ce que vous voudriez boire aussi de la bière
Ou du vin?,8,2,3,4,3,ou|du vin|vin|du,"du vin ou de la bière|qu'est-ce que vous voudriez boire? du vin ou de la bière|qu'est-ce que vous voudriez boire, du vin ou de la bière"
"Plus, du.",8,2,2,1,0,du,
Je voudrais boire de la bière.,8,3,6,7,0,je|je voudrais|voudrais|boire|de la bière,
Du vin ou de la bière?,8,5,6,8,2,ou|du vin|vin|du|de la bière,"qu'est-ce que vous voudriez boire? du vin ou de la bière|qu'est-ce que vous voudriez boire, du vin ou de la bière"
Qu'est-ce que vous voulez faire?,8,7,5,6,3,vous|vous voulez|voulez|qu'est-ce que|faire,"qu'est-ce que vous voulez faire maintenant|dites-moi, marie, qu'est-ce que vous voulez faire maintenant|qu'est-ce que vous voulez faire ce soir"
Faire.,8,5,1,0,9,,"qu'est-ce que vous voulez faire|qu'est-ce que vous voudriez faire|je voudrais faire quelque chose|qu'est-ce que vous voulez faire maintenant|dites-moi, marie, qu'est-ce que vous voulez faire maintenant"
Qu'est-ce que vous voudriez faire?,8,4,5,5,0,vous|vous voudriez|voudriez|qu'est-ce que|faire,
À l'hôtel.,8,4,2,1,3,l'hôtel,"où? à l'hôtel|et pas là-bas, à l'hôtel|non, pas à l'hôtel"
Hôtel.,8,2,1,0,0,,
L'hôtel.,8,2,1,0,5,,"à l'hôtel|où? à l'hôtel|et pas là-bas, à l'hôtel|non, pas à l'hôtel|où est l'hôtel saint-jacques, s'il vous plaît"
Je voudrais acheter quelque chose.,8,8,5,8,1,je|quelque chose|chose|quelque|je voudrais,parce que je voudrais acheter quelque chose
Acheter.,8,5,1,0,17,,"je voudrais acheter quelque chose|qu'est-ce que vous voudriez acheter|acheter quelque chose|je voudrais acheter quelque chose, mademoiselle|je voudrais acheter du vin"
Qu'est-ce que vous voudriez acheter?,8,6,5,5,0,vous|vous voudriez|voudriez|qu'est-ce que|acheter,
Je voudrais faire quelque chose.,8,5,5,7,0,je|quelque chose|chose|quelque|je voudrais,
Avec qui?,8,7,2,2,1,qui|avec,mais avec qui
Qui?,8,4,1,0,5,,avec qui|mais avec qui|et qui est jacques|qui est là-bas|qu'est-ce qui veut répondre
Avec?,8,2,1,0,42,,"avec qui|avec vous|mais avec qui|avec vous, mademoiselle|est-ce que vous voudriez boire quelque chose avec moi"
Avec vous.,8,2,2,2,20,vous|avec,est-ce que vous voudriez boire quelque chose avec moi|et je voudrais manger avec vous|moi aussi. je voudrais aussi manger avec vous|est-ce que vous voudriez déjeuner avec moi|je voudrais boire quelque chose avec vous
Acheter quelque chose?,8,2,3,4,6,quelque chose|chose|quelque|acheter,je voudrais acheter quelque chose|est-ce que je peux acheter quelque chose|parce que je voudrais acheter quelque chose|je veux acheter quelque chose|où voudriez-vous acheter quelque chose
